batch_size,learning_rate,epochs_config,epoch,train_loss,val_loss
32,3e-05,3,6,0.7028368,0.69065654
32,3e-05,3,7,0.7027306,0.6918354
32,3e-05,3,8,0.69872123,0.693758
32,3e-05,3,9,0.6998196,0.69338363
32,3e-05,3,10,0.7358698,0.691443
32,3e-05,3,11,0.66348064,0.6917234
32,3e-05,4,1,0.719359,0.70180976
32,3e-05,4,2,0.71209073,0.7002712
32,3e-05,4,3,0.7025992,0.6959731
32,3e-05,4,4,0.69596004,0.69232035
32,3e-05,4,5,0.6929611,0.68793297
32,3e-05,4,6,0.6906765,0.684404
32,3e-05,4,7,0.6887235,0.6801351
32,3e-05,4,8,0.6882732,0.67735374
32,3e-05,4,9,0.68910915,0.67475635
32,3e-05,4,10,0.6890842,0.67431515
32,3e-05,4,11,0.6862407,0.6736836
32,3e-05,4,12,0.6861064,0.67366683
32,3e-05,4,13,0.6860676,0.6722771
32,3e-05,4,14,0.6863321,0.67151654
32,3e-05,4,15,0.68520796,0.67235243
32,3e-05,4,16,0.6842569,0.6739419
32,3e-05,4,17,0.6823682,0.6740304
32,3e-05,4,18,0.6709012,0.67231244
32,3e-05,4,19,0.6697796,0.67039204
32,3e-05,4,20,0.6524284,0.66745824
32,3e-05,4,21,0.6751006,0.66535676
32,3e-05,4,22,0.68179166,0.66357595
32,3e-05,4,23,0.67441547,0.6630411
32,3e-05,4,24,0.670609,0.66331905
32,3e-05,4,25,0.66574097,0.66375047
32,3e-05,4,26,0.66321886,0.6649534
32,3e-05,4,27,0.6777766,0.6661073
32,2e-05,2,1,0.70339745,0.6988434
32,2e-05,2,2,0.6977143,0.69460255
32,2e-05,2,3,0.68440866,0.6938899
32,2e-05,2,4,0.6843524,0.69145364
32,2e-05,2,5,0.6904713,0.6893792
32,2e-05,2,6,0.6944637,0.6885214
32,2e-05,2,7,0.6902395,0.6891066
32,2e-05,2,8,0.6917112,0.6890229
32,2e-05,2,9,0.69060874,0.6882861
32,2e-05,2,10,0.6907052,0.68710387
32,2e-05,2,11,0.6911762,0.6867483
32,2e-05,2,12,0.6906805,0.6864266
32,2e-05,2,13,0.68786037,0.68610275
32,2e-05,2,14,0.68699944,0.6845826
32,2e-05,2,15,0.68827224,0.68364346
32,2e-05,2,16,0.6862695,0.6825471
32,2e-05,2,17,0.6846363,0.68332624
32,2e-05,2,18,0.68392193,0.6832789
32,2e-05,2,19,0.68226063,0.6832703
32,2e-05,2,20,0.6408316,0.68519634
32,2e-05,3,1,0.801574,0.715593
32,2e-05,3,2,0.7643907,0.7056423
32,2e-05,3,3,0.7632373,0.6962558
32,2e-05,3,4,0.7570979,0.6920799
32,2e-05,3,5,0.7382781,0.6929838
32,2e-05,3,6,0.7331378,0.6923248
32,2e-05,3,7,0.73095846,0.69475985
32,2e-05,3,8,0.6803541,0.69577426
32,2e-05,3,9,0.70130783,0.6958961
32,2e-05,4,1,0.7113236,0.7096024
32,2e-05,4,2,0.7087612,0.7056007
32,2e-05,4,3,0.70023113,0.7027837
32,2e-05,4,4,0.7027362,0.6989537
32,2e-05,4,5,0.7034402,0.69765896
32,2e-05,4,6,0.7056041,0.69480044
32,2e-05,4,7,0.6985274,0.6928619
32,2e-05,4,8,0.6981804,0.69198793
32,2e-05,4,9,0.694268,0.69022983
32,2e-05,4,10,0.6929968,0.6879059
32,2e-05,4,11,0.6906428,0.68779737
32,2e-05,4,12,0.68910915,0.68964624
32,2e-05,4,13,0.6884045,0.6915589
32,2e-05,4,14,0.68835205,0.6920716
32,2e-05,4,15,0.63686013,0.6931465
32,2e-05,4,16,0.65298116,0.69496834
32,2e-05,4,17,0.73359895,0.6932551
