Dataset,Model,TP,FP,FN,TN
OLID,IB-WE,98,12,47,62
OLID,IB-ED,77,33,33,76
OLID,MB-WE,99,11,40,69
OLID,MB-ED,101,9,49,60
TweetEval,IB-WE,19,14,12,21
TweetEval,IB-ED,18,15,10,23
TweetEval,MB-WE,27,6,29,4
TweetEval,MB-ED,7,26,6,27
Sushil,IB-WE,1433,247,624,1056
Sushil,IB-ED,1390,290,611,1069
Sushil,MB-WE,879,801,266,1414
Sushil,MB-ED,1583,97,484,1196
